network_city,network_name,station_name,station_id,station_latitude,station_longitude,empty_slots,free_bikes,total_bikes
London,santander-cycles,"001117 - Lambeth North Station, Waterloo",dffa4521a68058f10574f66997d074d1,51.49914063,-0.112031483,3,17,20
London,santander-cycles,"001156 - Bedford Way, Bloomsbury",362c216ecec8c67cb68c7c67a8ceb26e,51.52367314,-0.128377673,18,5,23
London,santander-cycles,"001138 - Elizabeth Bridge, Victoria",282e3f242d2799ecfd97d0e50197ecb9,51.49236962,-0.147478734,3,31,34
London,santander-cycles,"003496 - St Mary's Hospital, Paddington",dfd18ac5219ce5af07ec776558277ed0,51.518268,-0.17110323,17,3,20
London,santander-cycles,"001135 - Claverton Street, Pimlico",62bc2304298cd9c782d8668fce5510d0,51.48483991,-0.138089062,22,10,32
London,santander-cycles,"001214 - Kensington Olympia Station, Olympia",2b5f1abbbff8e176025b26fae6f0b9ed,51.49815779,-0.209494128,16,9,25
London,santander-cycles,"001216 - Swan Street, The Borough",b2f81c1785600d02194d55a8bbe7ba88,51.50029631,-0.092762704,17,10,27
London,santander-cycles,"003498 - Geraldine Street, Elephant & Castle",d042ccbaa7670a7032c4691d111e3afa,51.49612799,-0.106000855,5,12,17
London,santander-cycles,"001152 - Marylebone Lane, Marylebone",069a306e841aed284a84444048b364f2,51.51475963,-0.148105415,19,5,24
London,santander-cycles,"003492 - Putney Pier, Wandsworth",e48ca76cc8c32733296354cb32cdfe34,51.466907,-0.216573,8,20,28
London,santander-cycles,"001157 - Black Lion Gate, Kensington Gardens",8ba0194daeb0ac4b294433cbe7d860a3,51.50990837,-0.187842717,19,5,24
London,santander-cycles,"003494 - Foley Street, Fitzrovia",e51dfccac7bfccebc14b422e6d20103e,51.51918144,-0.140485596,15,9,24
London,santander-cycles,"001130 - Grove End Road, St. John's Wood",5165a060dd8f374c43c8b90202e34020,51.53088935,-0.176770502,17,3,20
London,santander-cycles,"003495 - Wells Street, Fitzrovia",5e994c58439cd4e02d7426eab22467d8,51.51734403,-0.138072691,24,14,38
London,santander-cycles,"003485 - Tyers Gate, Bermondsey",d44450634cab6bc0308883311ae165ea,51.50088934,-0.083159352,24,12,36
London,santander-cycles,"000968 - Warwick Row, Westminster",2f86532efc540bb6ac562b048690f15d,51.497998,-0.14296064,1,20,21
London,santander-cycles,"003500 - Baldwin Street, St. Luke's",db5f489cd151eb1dde78ab05e0cf806a,51.52702563,-0.088542771,13,8,21
London,santander-cycles,"001148 - Queen Mother Sports Centre, Victoria",957b94f2958deb69e503d3c6ea37baa6,51.49357351,-0.139956043,2,24,26
London,santander-cycles,"002637 - Bermondsey Street, Bermondsey",6247c35c551e946ba9431f8a5c09bc6f,51.49785559,-0.081608045,14,10,24
London,santander-cycles,"003502 - Palissy Street, Shoreditch",9559bd41bdd0b32ec6dfe2de4d10b425,51.526293,-0.073955,1,25,26
London,santander-cycles,"003501 - Clifton Street, Shoreditch",e01094f7ad40343a0c7adac3e4bcad65,51.523196,-0.083067,13,11,24
London,santander-cycles,"001131 - Graham Street, Angel",2d3a46775fd3177343d04ab2ddb36d31,51.53266186,-0.099981142,6,20,26
London,santander-cycles,"002641 - New North Road 2, Hoxton",0fce6ee73e33ca39c6e551b9347a33ad,51.53114,-0.086016,9,13,22
London,santander-cycles,"002636 - Prince Albert Road, The Regent's Park",6a909175d0c128dedd6690508f47fceb,51.53589283,-0.160854428,21,3,24
London,santander-cycles,"001211 - Bunhill Row, Moorgate",17f03df378612d2d000989d143fd4cb3,51.52085887,-0.089887855,16,14,30
London,santander-cycles,"001210 - Nevern Place, Earl's Court",7869387b7f03aea7253facf45a28c46a,51.49334336,-0.194757949,14,6,20
