network_city,network_name,station_name,bike_station_id,station_latitude,station_longitude,empty_slots,free_bikes,total_bikes,poi_id,poi_name,poi_distance_from_bike_stn,poi_latitude,poi_longitude,poi_bsns_category,review_count,rating
London,santander-cycles,"001024 - Park Street, Bankside",26184215d38089fcad213ef222e69780,51.50597426,-0.092754157,7,11,18,61d1ded487656e253ca92842,Everyman Cinema,61,51.505591,-0.092376,Arts and Entertainment,,
London,santander-cycles,"001024 - Park Street, Bankside",26184215d38089fcad213ef222e69780,51.50597426,-0.092754157,7,11,18,5cc3a725c66666002c5143a0,Bao Borough,82,51.505733,-0.091649,Dining and Drinking,,
London,santander-cycles,"001024 - Park Street, Bankside",26184215d38089fcad213ef222e69780,51.50597426,-0.092754157,7,11,18,4ac518e6f964a5200aab20e3,Wright Brothers Oyster & Porter House,88,51.505575,-0.091562,Dining and Drinking,,
London,santander-cycles,"001024 - Park Street, Bankside",26184215d38089fcad213ef222e69780,51.50597426,-0.092754157,7,11,18,34F8sZE1xq-Ki-zSPbHrGg,Wright Brothers,92,51.5056293987386,-0.0915365713523675,Dining and Drinking,94.0,4.0
London,santander-cycles,"001024 - Park Street, Bankside",26184215d38089fcad213ef222e69780,51.50597426,-0.092754157,7,11,18,5b07d0feb399f7002cbd0a1b,The Gentlemen Baristas,95,51.50519,-0.091705,Dining and Drinking,,
London,santander-cycles,"001024 - Park Street, Bankside",26184215d38089fcad213ef222e69780,51.50597426,-0.092754157,7,11,18,4ad9a8acf964a5205f1a21e3,Monmouth Coffee Company,100,51.505575,-0.091562,Dining and Drinking,,
London,santander-cycles,"001024 - Park Street, Bankside",26184215d38089fcad213ef222e69780,51.50597426,-0.092754157,7,11,18,IWl1Y0eQOZSnYeIDw94svg,Monmouth Coffee,101,51.5055383383613,-0.0914615294783139,Dining and Drinking,317.0,4.5
London,santander-cycles,"001024 - Park Street, Bankside",26184215d38089fcad213ef222e69780,51.50597426,-0.092754157,7,11,18,4fb13f6be4b020d239259282,Gelateria 3BIS,103,51.505459,-0.091724,Dining and Drinking,,
London,santander-cycles,"001024 - Park Street, Bankside",26184215d38089fcad213ef222e69780,51.50597426,-0.092754157,7,11,18,Di9NvNc6fECXHxyxuyGdrg,Hawksmoor,103,51.5062318,-0.0913238,Dining and Drinking,35.0,4.5
London,santander-cycles,"001024 - Park Street, Bankside",26184215d38089fcad213ef222e69780,51.50597426,-0.092754157,7,11,18,4bf7c1814a67c928a21a24cf,Neal's Yard Dairy,106,51.505459,-0.091724,Retail,,
